"RECORDID"	"ONEPERID"	"ONEPERFLAG"	"ORGFLAG"	"GROUPFLAG"	"EBDFFLAG"	"MASTERRECORDID"
"0021060800"	"0021060800"	"1"	""	""	"1"	"MB15358660"
"0021067007"	"0021067007"	"1"	""	""	"1"	"MA11529585"
"0021110822"	"0021110822"	"1"	""	""	"1"	"MA11053856"
"0021127707"	"0021127707"	"1"	""	""	"1"	"MA11036887"
"0021136299"	"0021136299"	"1"	""	""	"1"	"MA11483928"
"0021136315"	"0021136315"	"1"	""	""	"1"	"MA11190515"
"0021136316"	"0021136316"	"1"	""	""	"1"	"MF12210772"
"0021136412"	"0021136412"	"1"	""	""	"1"	"MA11494348"
"0021136448"	"0021136448"	"1"	""	""	"1"	"MA11450666"
"0021136470"	"0021136470"	"1"	""	""	""	"MA11481557"
"0021136507"	"0021136507"	"1"	""	""	"1"	"MA08381521"
"0021136525"	"0021136525"	"1"	""	""	"1"	"MA11483883"
"0021136619"	"0021136619"	"1"	""	""	"1"	"MA11256218"
"0021136629"	"0021136629"	"1"	""	""	"1"	"MA11450672"
"0021136729"	"0021136729"	"1"	""	""	"1"	"MA11110897"
"0021136732"	"0021136732"	"1"	""	""	""	"MA11593287"
"0021136766"	"0021136766"	"1"	""	""	"1"	"MA11480815"
"0021136836"	"0021136836"	"1"	""	""	"1"	"MA10996072"
"0021136959"	"0021136959"	"1"	""	""	"1"	"MA08840514"
"0021136965"	"0021136965"	"1"	""	""	"1"	"MA11593041"
"0021136987"	"0021136987"	""	""	"1"	"1"	"MR00112743"
"0021137086"	"0021137086"	"1"	""	""	"1"	"MA11129275"
"0021137109"	"0021137109"	"1"	""	""	"1"	"MF05999883"
"0021137168"	"0021137168"	"1"	""	""	"1"	"MA11516179"
"0021137188"	""	""	""	"1"	""	"MA08913708"
"0021137198"	"0021137198"	"1"	""	""	"1"	"MA08917923"
"0021137202"	"0021137202"	"1"	""	""	"1"	"MA11062045"
"0021137203"	"0021137203"	"1"	""	""	"1"	"MF00981879"
"0021137249"	"0021137249"	"1"	""	""	"1"	"MA11481489"
"0021137292"	"0021137292"	"1"	""	""	"1"	"MA11092946"
"0021137350"	"0021137350"	"1"	""	""	""	"MA11597213"
"0021137392"	"0021137392"	"1"	""	""	"1"	"MA11090763"
"0021137394"	"0021137394"	"1"	""	""	"1"	"MR03846356"
"0021137398"	"0021137398"	"1"	""	""	"1"	"MA08490085"
"0021137417"	"0021137417"	"1"	""	""	"1"	"MA11444731"
"0021137418"	"0021137418"	"1"	""	""	"1"	"MA11204461"
"0021137520"	"0021137520"	"1"	""	""	"1"	"MA08845862"
"0021137571"	"0021137571"	"1"	""	""	"1"	"MA08496397"
"0021137573"	"0021137573"	"1"	""	""	"1"	"MA08844752"
"0021137609"	"0021137609"	"1"	""	""	"1"	"MA08822814"
"0021137618"	"0021137618"	"1"	""	""	"1"	"MA11444608"
"0021137635"	"0021137635"	"1"	""	""	"1"	"MR00178652"
"0021137732"	"0021137732"	"1"	""	""	"1"	"MA08843031"
